name,money_raised,announced_date,location,industries,description,funding_type,lead_investors,total_funding
Defense Unicorns,"$504,329","Oct 13, 2022","Colorado Springs, Colorado, United States, North America","Information Technology, National Security, Software, Software Engineering",Defense Unicorns is a software startup that provides open-source software and AI capabilities for National Security systems.,Seed,—,"$35,504,329"
Infinite Composites,"$503,884","Oct 27, 2021","Tulsa, Oklahoma, United States, North America","Aerospace, Energy, Government, Industrial Manufacturing, Manufacturing, Oil and Gas, Satellite Communication, Space Travel, Transportation","ICT designs, develops, and manufactures advanced gas storage systems for aerospace, industrial gas and transportation applications.",Seed,Spaced Ventures,"$3,939,058"
EXOS Aerospace,"$503,000","Nov 22, 2021","Greenville, Texas, United States, North America","Aerospace, Manufacturing, Space Travel","EXOS is a manufacturing company that specializes in biomedical research, material science, and aerospace engineering.",Venture - Series Unknown,—,"$9,886,191"
Radical,"$500,000","Apr 5, 2023","Seattle, Washington, United States, North America","Aerospace, Internet, Telecommunications",Radical builds high-altitude solar aircraft to provide direct-to-handset LTE or 5G internet.,Pre-Seed,Y Combinator,"$4,965,000"
PERCEETECH GROUP,"$500,000","Sep 7, 2021","London, England, United Kingdom, Europe","Aerospace, Consulting, Drones, Industrial Automation, Product Design, Product Management, Product Research","UAV, Drones, R&D, Consulting",Pre-Seed,—,"$500,000"
StraightLine,"$500,000","Dec 14, 2022","Denver, Colorado, United States, North America","Aerospace, Leisure, Travel",StraightLine provides personalized aviation and jet charter services and programs for individuals.,Pre-Seed,—,"$500,000"
EXOS Aerospace,"$500,000","Apr 15, 2019","Greenville, Texas, United States, North America","Aerospace, Manufacturing, Space Travel","EXOS is a manufacturing company that specializes in biomedical research, material science, and aerospace engineering.",Seed,—,"$9,886,191"
Rogue Space Systems,"$500,000","Nov 1, 2020","Laconia, New Hampshire, United States, North America","Aerospace, Manufacturing, Robotics","Rogue Space Systems expertise in designing satellite vehicles, robots and subsystems to satellite operators, manufactures and insurers.",Pre-Seed,—,"$500,000"
Xairos,"$500,000","Dec 23, 2019","Highlands Ranch, Colorado, United States, North America","Aerospace, GPS, Information Technology","Xairos is a space and technology company that revolutionizes position, navigation, and timing.",Seed,—,"$870,000"
Crayonic,"$500,000","Nov 1, 2021","Eindhoven, Noord-Brabant, The Netherlands, Europe","Health Care, Manufacturing, Military",Secure wearables for critical infrastructure.,Seed,—,"$2,100,000"
Alpine Advanced Materials,"$500,000","Dec 13, 2019","Dallas, Texas, United States, North America","Aerospace, Manufacturing, Military, Nanotechnology",Alpine Advanced Materials specializes in best-in-class lightweight and affordable structural thermoplastic nanocomposites.,Seed,—,"$3,750,000"
Coflyt,"$500,000","May 12, 2020","Pensacola, Florida, United States, North America","Aerospace, Software",Coflyt is an intelligent aircraft software that provides peace of mind by streamlining communication for aircraft owners.,Seed,—,"$500,000"
TamaracK,"$500,000","Jun 6, 2022","Sandpoint, Idaho, United States, North America","Aerospace, Air Transportation, Manufacturing, Transportation","Tamarack Aerospace is comprised of a group of highly gifted aerospace, structural and mechanical engineers.",Seed,—,"$20,862,223"
Starfish Space,"$500,000","Oct 17, 2020","Seattle, Washington, United States, North America","Aerospace, Manufacturing, Space Travel, Transportation","Starfish Space develops and manufactures autonomous space vehicles that perform in-orbit, satellite servicing missions.",Pre-Seed,—,"$33,950,000"
Onebrief,"$500,000","Jun 1, 2021","Honolulu, Hawaii, United States, North America","Big Data, Computer, Military, Productivity Tools, Software","Onebrief is a visual strategy tool that helps in campaign, contingency, and crisis planning.",Seed,—,"$37,453,815"
Elodin,"$500,000","Feb 27, 2024","San Francisco, California, United States, North America","Aerospace, Robotics, Satellite Communication","Elodin enables aircraft professionals to swiftly build, test, and simulate control systems.",Pre-Seed,Y Combinator,"$500,000"
Basalt Tech,"$500,000","Apr 3, 2024","San Francisco, California, United States, North America","Aerospace, Industrial Automation, Space Travel",Basalt Tech is a spacecraft software company that helps to produce optimized instructions for fleets of spacecraft.,Pre-Seed,Y Combinator,"$4,000,000"
Astro Mechanica,"$500,000","Feb 27, 2024","San Francisco, California, United States, North America",Aerospace,Astro Mechanica has designed a new form of jet engine—the Electric Adaptive Engine.,Seed,Y Combinator,"$500,000"
Kelluu Oy,"€400,000","Jun 1, 2021","Joensuu, Eastern Finland, Finland, Europe","Aerospace, Cloud Computing",Kelluu delivers a high-resolution Large Reality Model using a fleet of emission-free autonomous lighter-than-air drones.,Seed,—,"€3,725,000"
FLX Solutions,"$485,000","Mar 31, 2020","Bethlehem, Pennsylvania, United States, North America","3D Printing, 3D Technology, Aerospace, Building Maintenance, Robotics",FLX Solutions develops cutting-edge robotics to reduce casualties while inspecting and repairing work.,Pre-Seed,—,"$485,000"
Anneal,"£350,000","Oct 1, 2021","Belfast, Belfast, United Kingdom, Europe","Aerospace, Collaboration, Knowledge Management, Mechanical Engineering, Productivity Tools, Software","Anneal is a collaborative, digital workspace for hardware engineering teams.",Pre-Seed,—,"$583,027"
Hydrosat,"$470,000","Jul 15, 2019","Washington, District of Columbia, United States, North America","Aerospace, AgTech, Analytics, Artificial Intelligence (AI), Big Data, Geospatial, Information Services, Machine Learning","Hydrosat provides geospatial intelligence for food security, critical infrastructure, and the environment.",Pre-Seed,Techstars,"$35,623,002"
Elemental Coatings,"$470,000","Sep 25, 2019","Houston, Texas, United States, North America","Aerospace, Automotive, Chemical, Infrastructure, Manufacturing, Power Grid, Railroad, Wind Energy",Elemental Coatings was founded with one goal in mind: make the many problems associated with ice and scale buildup a thing of the past.,Pre-Seed,—,"$655,000"
Apogee Semiconductor,"$468,792","Jul 21, 2022","Plano, Texas, United States, North America","Aerospace, Industrial Manufacturing, Semiconductor",Apogee Semiconductor provides products and technologies for space and other extreme environments.,Venture - Series Unknown,—,"$10,373,924"
GATE Space,"€450,000","Nov 22, 2022","San Francisco, California, United States, North America",Aerospace,GATE Space is a developer of a technology designed to enable the next generation of space mobility.,Pre-Seed,"David Niedermaier, Franz Viehböck","$1,752,409"
BosonQ Psi,"$457,000","Apr 30, 2023","New York, New York, United States, North America","Aerospace, Automotive, Quantum Computing, Software",Simulation software startup ​leveraging Quantum computing to accelerate advanced simulations for highly-engineered products.,Seed,—,"$1,707,000"
Ghost Robotics,"$450,000","Aug 25, 2021","Philadelphia, Pennsylvania, United States, North America","Industrial, Military, Mining, Oil and Gas, Physical Security, Public Safety, Robotics","Robots that Feel the World™ | Quadrupedal Robots (Q-UGV) for Unstructured, Demanding and Continuous-Use Environments",Seed,—,"$1,450,000"
Urban Sky,"$450,000","Aug 1, 2019","Denver, Colorado, United States, North America","Aerospace, Geospatial, Mapping Services, Remote Sensing, Smart Cities",Urban Sky offers a revolution in remote sensing through the new stratospheric microballon.,Pre-Seed,New Stack Ventures,"$15,963,834"
Scorpius Space Launch Company,"$450,000","Nov 17, 2021","Torrance, California, United States, North America","Aerospace, Mechanical Engineering, Transportation",Scorpius Space Launch Company is a private space launch company that provides space launch vehicles and components for space missions.,Seed,—,"$450,000"
TechnoCarbon,"€410,000","Feb 7, 2020","Paris, Ile-de-France, France, Europe","Aerospace, Clean Energy, CleanTech, Construction, GreenTech, Industrial Design, Manufacturing, Marine Technology",TechnoCarbon is a cleantech SAS company.,Pre-Seed,L'Atelier Azur,"$1,579,696"
Appjection,"€400,000","Apr 7, 2020","Amsterdam, Noord-Holland, The Netherlands, Europe","Law Enforcement, Legal",Appjection provides legal services.,Venture - Series Unknown,—,"€400,000"
Oratto,"£350,000","Oct 8, 2019","London, England, United Kingdom, Europe","Advice, Law Enforcement, Legal",Oratto is an online service provider that is focused on connecting individual and business consumers with the appropriate lawyer.,Pre-Seed,—,"£350,000"
Hudson Space Systems,"$425,000","Jun 1, 2020","Hoboken, New Jersey, United States, North America","Aerospace, Manufacturing, Space Travel",Microgravity as a Service,Pre-Seed,—,"$425,000"
Zulu Pods,"$425,000","Jul 12, 2021","Fort Lauderdale, Florida, United States, North America","Aerospace, Air Transportation, Military",Zulu Pods is an aerospace Technology start-up that develops lubrication systems for jet engines.,Pre-Seed,—,"$6,355,000"
Trumania: Evidence Social Cam App,"$420,000","Oct 11, 2019","Los Angeles, California, United States, North America","Auto Insurance, Banking, Construction, E-Commerce, Information Technology, Insurance, Law Enforcement, Medical, Property Insurance, SaaS","TimeSTAMPED & independently verifiable PHOTOS and VIDEOS that can be used as an evidence of anything - b2b, b2c, b2b2c - in any industry",Pre-Seed,—,"$420,000"
Aurora Avionics,"£320,000","May 27, 2024","Edinburgh, Edinburgh, City of, United Kingdom, Europe","Aerospace, Robotics",Aerospace Robotics & Controls,Pre-Seed,"Gabriel Investments, Scottish Enterprise","£320,000"
Precision Aerospace Group,"$405,000","Feb 22, 2024","Aventura, Florida, United States, North America",Aerospace,Precision Aerospace Group is an aerspace solutions company.,Venture - Series Unknown,—,"$405,000"
EXOS Aerospace,"$404,770","Aug 27, 2019","Greenville, Texas, United States, North America","Aerospace, Manufacturing, Space Travel","EXOS is a manufacturing company that specializes in biomedical research, material science, and aerospace engineering.",Seed,—,"$9,886,191"
AutoNeura,"£350,000","Nov 1, 2022","Coventry, Coventry, United Kingdom, Europe","Aerospace, Analytics, Automotive, Marine Transportation, Mechanical Engineering, Railroad, Transportation, Web Development",AutoNeura is an early-stage start-up with the vision of improving the connection with physics and engineering through control systems.,Seed,—,"£570,000"
Pitch Aeronautics,"$400,002","Oct 10, 2023","Boise, Idaho, United States, North America","Aerospace, Drone Management, Drones","Pitch Aeronautics is an aviation and aerospace tech company that offers drone for installations, maintenance, and up-close inspections.",Seed,—,"$400,002"
IENAI SPACE,"$400,000","Apr 28, 2021","Madrid, Madrid, Spain, Europe","Aerospace, Machinery Manufacturing, Space Travel",IENAI SPACE develops next generation in-space mobility for smallsats: efficient ionic-liquid electric propulsion and mission analysis,Pre-Seed,Inveready,"$400,000"
Ravyn Technology Corporation,"$400,000","Nov 18, 2019","El Segundo, California, United States, North America","Aerospace, Government, Manufacturing, Military",Ravyn is a manufacturer of defense articles and fieldable weapon systems.,Seed,—,"$400,000"
Zuri,"€300,000","Jun 3, 2021","Prague, Hlavni mesto Praha, Czech Republic, Europe","Aerospace, Electronics",Zuri is a company that builds a hybrid-electric VTOL for inter-city travel.,Seed,—,"€2,400,000"
